"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401411097,1,2022,"Miami","Bethune-Cookman",9,0,1,2
401411099,1,2022,"Syracuse","Louisville",4,1,1,0
401411100,1,2022,"Virginia","Richmond",5,0,2,1
401411101,1,2022,"Georgia Tech","Clemson",1,1,5,2
401411102,2,2022,"Clemson","Furman",5,0,1,2
401411103,2,2022,"Georgia State","North Carolina",3,2,5,0
401411104,2,2022,"Georgia Tech","Western Carolina",5,0,2,1
401411105,2,2022,"Miami","Southern Mississippi",3,3,1,0
401411106,2,2022,"NC State","Charleston Southern",7,2,0,1
401411108,2,2022,"Virginia Tech","Boston College",3,2,0,1
401411109,3,2022,"Louisville","Florida State",4,1,5,0
401411110,3,2022,"Boston College","Maine",4,1,2,1
401411113,3,2022,"Virginia","Old Dominion",1,3,2,0
401411114,3,2022,"Virginia Tech","Wofford",3,2,1,0
401411115,3,2022,"Western Michigan","Pittsburgh",1,2,3,2
401411116,4,2022,"Virginia Tech","West Virginia",1,1,2,4
401411117,4,2022,"Syracuse","Virginia",1,5,3,0
401411118,4,2022,"Florida State","Boston College",5,1,2,0
401411119,4,2022,"Louisville","South Florida",5,2,0,1
401411121,4,2022,"Pittsburgh","Rhode Island",5,1,3,1
401411122,4,2022,"UCF","Georgia Tech",1,4,1,1
401411123,4,2022,"Wake Forest","Clemson",6,1,6,3
401411124,5,2022,"Boston College","Louisville",4,2,4,2
401411125,5,2022,"Clemson","NC State",3,3,2,2
401411126,5,2022,"Duke","Virginia",5,1,2,1
401411127,5,2022,"Florida State","Wake Forest",3,0,4,1
401411128,5,2022,"North Carolina","Virginia Tech",5,2,1,1
401411129,5,2022,"Pittsburgh","Georgia Tech",3,0,2,4
401411130,5,2022,"Syracuse","Wagner",7,1,0,0
401411131,6,2022,"Boston College","Clemson",0,1,4,1
401411132,6,2022,"Georgia Tech","Duke",2,3,1,2
401411133,6,2022,"Miami","North Carolina",3,1,3,2
401411134,6,2022,"NC State","Florida State",1,4,2,1
401411135,6,2022,"Pittsburgh","Virginia Tech",6,1,3,1
401411136,6,2022,"Virginia","Louisville",2,1,4,2
401411137,7,2022,"Duke","North Carolina",5,0,5,1
401411138,7,2022,"Florida State","Clemson",4,0,4,2
401411139,7,2022,"Syracuse","NC State",3,1,0,3
401411140,7,2022,"Virginia Tech","Miami",1,0,2,2
401411141,8,2022,"Georgia Tech","Virginia",0,1,2,1
401411142,8,2022,"Clemson","Syracuse",3,2,2,0
401411143,8,2022,"Louisville","Pittsburgh",2,1,1,1
401411144,8,2022,"Miami","Duke",3,0,5,1
401411145,8,2022,"Wake Forest","Boston College",6,0,2,1
401411146,9,2022,"NC State","Virginia Tech",3,1,3,0
401411147,9,2022,"Florida State","Georgia Tech",5,2,2,1
401411148,9,2022,"Louisville","Wake Forest",4,2,3,0
401411149,9,2022,"North Carolina","Pittsburgh",6,0,3,1
401411150,9,2022,"Virginia","Miami",0,4,0,4
401411151,10,2022,"Boston College","Duke",4,1,5,1
401411152,10,2022,"Louisville","James Madison",4,2,1,1
401411153,10,2022,"Miami","Florida State",0,1,6,1
401411154,10,2022,"NC State","Wake Forest",3,2,3,0
401411155,10,2022,"Pittsburgh","Syracuse",2,1,0,3
401411156,10,2022,"Virginia","North Carolina",4,0,4,1
401411157,10,2022,"Virginia Tech","Georgia Tech",2,0,5,3
401411158,11,2022,"Clemson","Louisville",4,1,2,1
401411159,11,2022,"Duke","Virginia Tech",3,1,1,0
