"game_id","week","year","home","away","home_tds","home_fgs","away_tds","away_fgs"
401531419,2,2023,"Florida Atlantic","Ohio",0,1,2,1
401531422,2,2023,"South Florida","Florida A&M",5,1,3,1
401531423,4,2023,"South Florida","Rice",5,2,4,0
401531424,5,2023,"Navy","South Florida",4,1,5,0
401531426,1,2023,"Memphis","Bethune-Cookman",7,2,0,0
401531427,2,2023,"Arkansas State","Memphis",0,1,4,1
401531428,3,2023,"Memphis","Navy",4,0,3,1
401531429,5,2023,"Memphis","Boise State",4,0,4,1
401531432,2,2023,"Navy","Wagner",3,1,0,0
401531436,5,2023,"North Texas","Abilene Christian",6,1,4,1
401531438,3,2023,"SMU","Prairie View",9,0,0,0
401531441,3,2023,"Rice","Texas Southern",8,1,1,0
401531834,1,2023,"Georgia State","Rhode Island",5,0,5,0
401531835,1,2023,"Appalachian State","Gardner-Webb",6,1,3,1
401531836,1,2023,"Georgia Southern","The Citadel",4,2,0,0
401531837,1,2023,"James Madison","Bucknell",5,1,0,1
401531838,1,2023,"Marshall","Albany",3,0,2,1
401531839,1,2023,"Louisiana","Northwestern State",5,1,1,2
401531840,1,2023,"Southern Mississippi","Alcorn State",4,4,2,0
401531841,1,2023,"Troy","Stephen F. Austin",5,2,2,3
401531842,2,2023,"Old Dominion","Louisiana",5,1,4,1
401531843,2,2023,"Louisiana Monroe","Lamar",2,1,2,0
401531844,2,2023,"South Alabama","Southeastern Louisiana",5,0,2,1
401531845,3,2023,"Coastal Carolina","Duquesne",7,1,1,0
401531846,3,2023,"Arkansas State","Stony Brook",4,1,1,0
401531847,3,2023,"Texas State","Jackson State",11,0,5,0
401531848,3,2023,"Troy","James Madison",2,0,1,3
401531849,4,2023,"Coastal Carolina","Georgia State",1,1,3,3
401531870,4,2023,"Wyoming","Appalachian State",2,0,0,4
401531871,4,2023,"Ball State","Georgia Southern",0,1,4,4
401531872,4,2023,"Utah State","James Madison",5,1,6,1
401531873,4,2023,"Old Dominion","Texas A&M-Commerce",1,1,1,1
401531874,4,2023,"Arkansas State","Southern Mississippi",5,3,4,3
401531875,4,2023,"Louisiana","Buffalo",5,1,5,1
401531876,4,2023,"South Alabama","Central Michigan",4,1,5,0
401531877,4,2023,"Texas State","Nevada",6,0,1,1
401531878,5,2023,"Georgia Southern","Coastal Carolina",4,1,4,0
401531879,5,2023,"Georgia State","Troy",1,0,3,2
401531880,5,2023,"James Madison","South Alabama",3,1,3,1
401531881,5,2023,"Marshall","Old Dominion",4,2,5,0
401531882,5,2023,"Louisiana Monroe","Appalachian State",6,0,4,2
401531883,5,2023,"Southern Mississippi","Texas State",5,1,6,0
401532392,1,2023,"San Diego State","Ohio",2,2,1,2
401532393,1,2023,"Western Michigan","St Francis (PA)",5,0,2,1
401532394,1,2023,"Eastern Michigan","Howard",2,1,3,1
401532395,1,2023,"Ohio","Long Island University",3,2,1,1
401532396,2,2023,"Central Michigan","New Hampshire",5,1,6,0
401532397,2,2023,"Northern Illinois","Southern Illinois",1,1,2,0
401532398,2,2023,"Toledo","Texas Southern",10,0,0,1
401532399,2,2023,"Akron","Morgan State",1,1,3,0
401532400,2,2023,"Bowling Green","Eastern Illinois",5,1,2,1
401532402,3,2023,"Ball State","Indiana State",5,1,1,0
401532403,3,2023,"Toledo","San José State",2,0,2,1
401532404,3,2023,"Kent State","Central Connecticut",5,1,1,1
401532405,4,2023,"Bowling Green","Ohio",1,0,3,1
401532406,4,2023,"Toledo","Western Michigan",7,0,3,1
401532407,4,2023,"Fresno State","Kent State",7,1,1,1
401532408,4,2023,"Miami (OH)","Delaware State",8,2,3,0
401532409,5,2023,"Western Michigan","Ball State",6,0,2,1
401532410,5,2023,"Central Michigan","Eastern Michigan",3,1,3,1
401532411,5,2023,"Toledo","Northern Illinois",5,0,3,2
401532412,5,2023,"Akron","Buffalo",1,1,1,2
401532413,5,2023,"Kent State","Miami (OH)",0,1,2,3
401532570,1,2023,"Air Force","Robert Morris",5,0,0,0
401532571,1,2023,"San Diego State","Idaho State",4,2,3,2
401532572,1,2023,"UNLV","Bryant",4,3,2,0
401532573,1,2023,"San José State","Oregon State",2,1,6,0
401532574,2,2023,"Fresno State","Eastern Washington",4,2,4,1
401532575,2,2023,"Hawai'i","Albany",4,1,1,2
401532577,2,2023,"New Mexico","Tennessee Tech",8,0,1,1
401532578,2,2023,"San José State","Cal Poly",7,1,0,1
401532579,2,2023,"Utah State","Idaho State",9,1,4,0
401532580,2,2023,"Wyoming","Portland State",4,1,2,1
401532581,3,2023,"Air Force","Utah State",5,1,3,0
401532582,3,2023,"Boise State","North Dakota",6,0,3,0
401532583,4,2023,"San Diego State","Boise State",4,1,4,2
401532584,4,2023,"San José State","Air Force",3,0,6,1
401532585,5,2023,"Colorado State","Utah Tech",6,0,2,2
401532586,5,2023,"UNLV","Hawai'i",5,3,2,2
401532587,5,2023,"Fresno State","Nevada",3,2,1,0
401532588,5,2023,"Wyoming","New Mexico",3,4,3,2
401532589,5,2023,"Air Force","San Diego State",6,0,1,1
401534851,3,2023,"Howard","Hampton",0,0,0,0
401534852,5,2023,"Robert Morris","Howard",0,0,0,0
401539971,3,2023,"Richmond","Delaware State",0,0,0,0
401539972,5,2023,"Delaware State","Virginia Lynchburg",0,0,0,0
401539978,1,2023,"Richmond","Morgan State",0,0,0,0
401539979,3,2023,"Morgan State","Towson",0,0,0,0
401539981,5,2023,"Yale","Morgan State",0,0,0,0
401539988,4,2023,"Towson","Norfolk State",0,0,0,0
401539989,5,2023,"Norfolk State","North Carolina A&T",0,0,0,0
401539994,2,2023,"North Carolina A&T","North Carolina Central",0,0,0,0
401539995,4,2023,"North Carolina Central","Mississippi Valley State",0,0,0,0
401539996,5,2023,"North Carolina Central","Campbell",0,0,0,0
401539999,1,2023,"Jackson State","South Carolina State",0,0,0,0
401540004,2,2023,"Central Connecticut","Stonehill",0,0,0,0
401540005,5,2023,"Brown","Central Connecticut",0,0,0,0
401540013,5,2023,"Long Island University","Duquesne",0,0,0,0
401540020,2,2023,"Bryant","Long Island University",0,0,0,0
401540027,1,2023,"Sacred Heart","Lafayette",0,0,0,0
401540028,2,2023,"Georgetown","Sacred Heart",0,0,0,0
401540029,4,2023,"St Francis (PA)","Sacred Heart",0,0,0,0
401540030,5,2023,"Sacred Heart","Merrimack",0,0,0,0
401540033,2,2023,"Robert Morris","St Francis (PA)",0,0,0,0
401540034,3,2023,"Delaware","St Francis (PA)",0,0,0,0
401540035,5,2023,"Stonehill","St Francis (PA)",0,0,0,0
401540039,3,2023,"Georgetown","Stonehill",0,0,0,0
401540040,4,2023,"Fordham","Stonehill",0,0,0,0
401540043,1,2023,"Fordham","Wagner",0,0,0,0
401540044,3,2023,"Sacred Heart","Wagner",0,0,0,0
401540045,4,2023,"Wagner","Merrimack",0,0,0,0
401540047,2,2023,"Bucknell","VMI",0,0,0,0
401540048,4,2023,"Bucknell","Pennsylvania",0,0,0,0
401540049,5,2023,"Lafayette","Bucknell",0,0,0,0
401540057,1,2023,"Georgetown","Marist",0,0,0,0
401540058,4,2023,"Columbia","Georgetown",0,0,0,0
401540059,5,2023,"Georgetown","Fordham",0,0,0,0
401540065,1,2023,"Holy Cross","Merrimack",0,0,0,0
401540067,4,2023,"Holy Cross","Colgate",0,0,0,0
401540068,5,2023,"Holy Cross","Harvard",0,0,0,0
401540072,3,2023,"Lafayette","Columbia",0,0,0,0
401540073,4,2023,"Lafayette","Monmouth",0,0,0,0
401540078,1,2023,"Lehigh","Villanova",0,0,0,0
401540079,2,2023,"Merrimack","Lehigh",0,0,0,0
401540080,3,2023,"Lehigh","Cornell",0,0,0,0
401540081,4,2023,"Dartmouth","Lehigh",0,0,0,0
401540082,5,2023,"Monmouth","Lehigh",0,0,0,0
